5467
2163	170	38
3606	1700	17
4208	171	33
2123	172	29
3326	173	32
6892	1730	6
4457	174	27
7682	1740	5
1274	175	45
7706	1750	5
1275	176	30
4683	177	38
3183	178	33
5738	179	22
2587	1799	5
1276	18	333
2287	180	68
2026	1800	19
4022	181	26
2477	182	30
7785	1823	7
5942	1825	7
1572	183	27
5584	1830	16
6399	184	27
6943	1844	5
7129	1845	6
4704	185	21
3550	186	27
6780	1860	5
4886	187	25
7824	188	14
3193	189	28
1386	19	217
2288	190	13
2027	1900	9
660	191	28
5944	192	25
6607	1920	5
4061	1929	7
2666	193	26
5816	1935	5
413	194	17
4490	195	20
3021	196	27
5011	1960s	6
5146	1964	5
6695	197	21
6823	1970s	10
1596	1971	5
4821	1972	5
7249	1975	9
6740	1976	5
7696	1979	5
4732	198	17
1058	1980	8
7194	1981	9
2378	1982	6
4901	1983	6
6741	1985	5
4175	1986	9
6401	1988	12
1059	1989	8
5539	199	16
4000	1990	26
2982	1990s	7
7018	1991	13
2431	1992	12
1060	1993	11
4217	1994	18
6807	19942009	5
4209	1995	26
3671	1996	24
4635	1997	26
4804	1998	24
4837	1999	41
2432	1day	16
3300	1h	36
6790	1min	14
4862	1min1	6
5819	1minute	6
2273	1st	77
7736	1unit	5
2624	1week	6
1933	1year	7
1006	20	676
946	200	81
3104	2000	107
6767	20002008	5
2289	20002009	7
7861	20002015	5
3290	20002019	5
2907	2001	50
4924	2002	39
3711	2003	76
3465	2004	69
4216	20042013	5
1983	2005	67
6482	20052009	5
1573	2006	84
6319	20062010	7
7608	20062017	5
2342	2007	62
6287	20072013	7
1470	2008	84
2893	20082014	5
4785	2009	94
7498	20092012	5
342	201	19
1166	2010	125
7484	20102019	6
3934	2011	124
2255	2012	108
5116	20122014	6
217	2013	165
5986	20132018	9
1539	2014	155
7870	20142016	5
6735	20142018	7
1631	2015	162
5543	20152019	6
1310	2016	170
2124	2017	149
572	2018	158
218	2019	154
661	202	20
705	2020	109
706	2020s	5
947	2021	87
3625	2022	50
2146	2023	26
6602	2024	7
4849	2025	7
7582	2027	5
4647	203	26
3265	2030	22
707	2030s	6
4023	204	26
3951	2040	9
2147	205	21
708	2050	24
6106	2050s	15
1664	206	21
5870	207	13
3952	2070	6
1507	208	18
7559	20812100	5
2164	209	24
7539	2090s	7
7388	20degreesc	13
6441	20km	6
5197	20m	12
2625	20min	51
1443	20minute	15
3664	20th	9
219	21	277
4458	210	16
3060	2100	32
2148	211	18
7058	212	13
5506	213	23
6775	2130	5
6244	214	20
3105	215	23
7499	216	14
5064	217	18
6928	218	9
4012	219	17
4542	21day	8
3665	21st	18
2680	22	266
1574	220	21
4062	2200	13
7274	221	19
1007	222	20
662	223	28
6941	2230	5
4938	224	25
1008	225	20
5840	226	14
4491	227	21
2290	228	23
6484	229	13
6115	22degreesc	5
1311	23	253
5210	230	18
4948	2300	10
2780	231	16
3106	232	22
5830	233	23
6071	234	19
4210	235	30
4343	236	20
4730	237	19
3772	238	23
6862	239	13
1508	24	459
3430	240	25
5449	241	21
4143	242	18
3935	243	26
3194	244	16
1387	245	29
5974	246	19
3107	247	17
5987	248	15
3385	249	16
2274	24h	95
2433	24hour	15
7069	24hours	5
3925	24hr	7
2004	25	405
2210	250	39
5896	2500	7
4401	251	14
3431	252	16
7727	253	13
7749	2530	5
626	254	23
2588	255	18
4538	256	19
2291	257	12
2292	258	18
3108	259	21
3638	25degreesc	11
2379	25th	37
1211	26	294
2448	260	19
3327	261	14
4661	262	10
1277	263	22
7146	264	21
3386	265	20
3401	266	13
2165	267	10
2166	268	33
4925	269	21
7693	26degreesc	5
2125	27	180
4662	270	20
1919	2700	8
1665	271	13
1934	272	14
6206	273	15
4459	274	14
2781	275	22
4492	276	15
3466	277	17
5366	278	17
5856	279	16
7843	27h	6
948	28	252
6411	280	21
6197	281	11
5898	282	10
3109	283	18
4918	284	23
4460	285	18
1061	286	17
1278	287	8
5897	288	8
4997	289	11
6791	28h	8
2045	29	166
3467	290	22
4926	291	18
4211	292	9
5131	293	17
2196	294	16
1279	295	26
3851	296	17
5912	297	10
5147	298	11
5841	299	22
4714	2day	6
3586	2h	37
1312	2hour	5
4550	2min	12
3237	2nd	19
4042	2way	8
6085	2week	14
343	30	726
1280	300	54
709	3000	19
3773	301	17
1009	302	19
4344	303	17
5361	304	17
3626	3045	7
4863	305	17
5450	3050	5
220	306	15
4805	3060	7
6493	307	6
4543	308	8
6530	309	11
5916	30day	7
7563	30degreesc	10
823	30min	83
2081	30minute	16
1062	31	218
1726	310	15
5629	311	12
4013	312	22
3968	313	12
6931	314	11
1063	315	24
5975	316	21
6320	317	14
4493	318	17
2722	319	11
7173	31st	12
1010	32	225
2167	320	19
2211	321	18
4927	322	14
4461	323	16
4743	324	12
6377	325	18
2723	326	7
4744	327	10
2504	3270	5
5988	328	19
3817	329	9
7397	32a	5
153	33	198
3328	330	16
2724	331	21
5817	332	16
1212	333	21
5507	334	10
4745	335	14
5814	336	8
6154	337	14
4074	338	10
4919	339	9
1666	34	187
6577	340	15
4693	341	9
6703	342	20
4939	343	15
4108	344	13
6649	345	25
4684	346	14
5572	347	8
6124	348	11
3195	349	14
1213	35	371
1388	350	17
7522	351	11
5004	352	18
1389	353	7
6679	354	14
5178	355	22
1390	356	6
7406	357	6
6040	358	17
2478	359	13
5055	35degreesc	11
2293	36	162
5132	360	24
4395	361	12
7038	362	10
3596	363	17
4864	364	30
3801	365	24
4648	366	18
5913	367	17
7641	3674	5
3597	368	19
2126	369	14
6079	36h	5
1391	37	162
5179	370	20
6660	371	14
3802	372	20
5180	373	18
1825	374	21
3119	375	42
6732	376	15
3803	377	20
5133	378	20
5234	379	27
2005	38	189
1392	380	32
1393	381	28
1394	382	23
1064	383	20
4396	384	29
3252	385	52
5047	386	27
3432	387	28
3818	388	24
5148	389	12
5430	38degreesc	5
949	39	144
5521	390	19
3433	391	16
3774	392	17
3644	393	16
7783	394	23
2149	395	52
