Unnamed: 0,absence of mental illness,absence of physical illness,cognitive health,emotional health,physical activity health,sensory health,sleep health,subclinical health,Years since publication,contribution index
doc7364,0,1,0,0,0,0,0,0,13,0.085891879
doc3358,0,1,0,0,0,0,0,0,11,0.086378454
doc1436,0,1,0,0,0,0,0,0,25,0.086675963
doc12343,0,0.512279828,0,0,0.487720172,0,0,0,6,0.086851664
doc12084,0,0,0,0,0.040875912,0.959124088,0,0,4,0.086935614
doc7148,0,1,0,0,0,0,0,0,11,0.087193389
doc7434,0,1,0,0,0,0,0,0,28,0.087261589
doc5482,0,0,0,0,0,0,0,1,10,0.087424787
doc49,0,1,0,0,0,0,0,0,10,0.08916397
doc8857,0,1,0,0,0,0,0,0,19,0.089900667
doc11087,0,0,1,0,0,0,0,0,23,0.089924392
doc9161,0,1,0,0,0,0,0,0,14,0.090099689
doc6129,0,0,0,0,0,1,0,0,17,0.090278287
doc9642,0,0.486884203,0,0,0,0,0,0.513115797,13,0.090348618
doc722,0,1,0,0,0,0,0,0,21,0.090393004
doc5156,0,1,0,0,0,0,0,0,3,0.090616835
doc5612,0,1,0,0,0,0,0,0,9,0.090695402
doc8016,0,0.62413591,0.37586409,0,0,0,0,0,18,0.091199133
doc1442,0,1,0,0,0,0,0,0,5,0.091217868
doc9989,0,0.396468876,0,0,0,0,0,0.603531124,25,0.092096551
doc4529,0,0,0,0,0,0,0,1,9,0.092573504
doc10917,0,0,0,0,1,0,0,0,25,0.09271789
doc7422,0,0.094687328,0,0,0.017838678,0.887473994,0,0,7,0.093053789
doc6486,0,0,0,0,0,0,0,1,5,0.093157728
doc269,0,1,0,0,0,0,0,0,33,0.0931633
doc8693,0,0,0,0,1,0,0,0,24,0.093368953
doc2057,0,1,0,0,0,0,0,0,30,0.093712628
doc222,0,0,1,0,0,0,0,0,4,0.093797302
doc399,0,0,0,0,1,0,0,0,23,0.093852442
doc8638,0,0,0,0,0.968356661,0,0.031643339,0,18,0.093947186
doc5707,0,0,0,0,1,0,0,0,29,0.094010726
doc10853,0,0.854614379,0,0,0.145385621,0,0,0,8,0.094017078
doc854,0,0,0,0,1,0,0,0,20,0.094062111
doc3291,0,0,0,0.266773199,0,0.733226801,0,0,18,0.094205282
doc9731,0,0.919900925,0,0,0.080099075,0,0,0,14,0.094332801
doc6897,0,0,0,0,1,0,0,0,11,0.094384471
doc4472,0,0,1,0,0,0,0,0,19,0.094600241
doc11456,0,0,0,0,1,0,0,0,7,0.095104991
doc2881,0,1,0,0,0,0,0,0,16,0.095356654
doc13519,0,1,0,0,0,0,0,0,2,0.095358612
doc9191,0,0.467917985,0,0,0,0.532082015,0,0,2,0.095358612
doc4909,0,1,0,0,0,0,0,0,28,0.095379543
doc11524,0,0.586076201,0.413923799,0,0,0,0,0,15,0.09571245
doc5559,0,1,0,0,0,0,0,0,7,0.095898657
doc4798,0,0,0,0,1,0,0,0,20,0.096133178
doc4160,0,0,0,0,1,0,0,0,9,0.096230827
doc378,0,0,0,0,1,0,0,0,25,0.096353956
doc4301,0,0,1,0,0,0,0,0,7,0.096452609
doc11476,0,1,0,0,0,0,0,0,30,0.096588653
doc104,0,1,0,0,0,0,0,0,16,0.096641507
doc4413,0,1,0,0,0,0,0,0,16,0.097072939
doc11396,0,1,0,0,0,0,0,0,6,0.097655447
doc11858,0,0.521260002,0,0,0,0.478739998,0,0,10,0.097801315
doc8442,0,1,0,0,0,0,0,0,29,0.098169393
doc8212,0,0,1,0,0,0,0,0,11,0.098196651
doc10525,0,0.315196261,0,0,0.684803739,0,0,0,6,0.098330362
doc11494,0,0,0,0,1,0,0,0,32,0.098353052
doc4138,0,1,0,0,0,0,0,0,5,0.098386327
doc4509,0,0,0,0,1,0,0,0,5,0.098913995
doc12652,0,0,0,0,0,1,0,0,20,0.098989119
doc5940,0,1,0,0,0,0,0,0,5,0.099367167
doc7534,0,0.178050158,0,0,0,0.821949842,0,0,30,0.099417419
doc3456,0,1,0,0,0,0,0,0,2,0.099893911
doc5080,0,0.229255812,0,0,0,0.770744188,0,0,16,0.100023799
doc10772,0,0,0,0,1,0,0,0,10,0.10070611
doc256,0,0.38177212,0,0,0,0.61822788,0,0,2,0.100949506
doc593,0,1,0,0,0,0,0,0,24,0.100992296
doc993,0,1,0,0,0,0,0,0,13,0.101055234
doc6944,0,0,0,0,0,1,0,0,13,0.101173733
doc2705,0,0.46024358,0,0,0.53975642,0,0,0,22,0.101718525
doc3039,0,0,0,0,1,0,0,0,3,0.101897304
doc4803,0,0,0,0,0,0,1,0,20,0.102012632
doc394,0,1,0,0,0,0,0,0,2,0.102131672
doc182,0,1,0,0,0,0,0,0,8,0.102232707
doc9534,0,0,0,0,0,1,0,0,21,0.102587994
doc11559,0,0,0,0,0,1,0,0,28,0.103075705
doc2267,0,0,0,0,0,0.498157756,0,0.501842244,32,0.103193095
doc3073,0,1,0,0,0,0,0,0,17,0.10330181
doc8123,0,1,0,0,0,0,0,0,23,0.103349797
doc12868,0,0,0,0,0,0,0,1,13,0.103472534
doc6863,0,0,0,0,0,0,0,1,12,0.103677693
doc4442,0,1,0,0,0,0,0,0,12,0.10372165
doc7729,0,0.38177212,0,0,0,0.61822788,0,0,10,0.104290339
doc4842,0,0,0.504234522,0,0.495765478,0,0,0,15,0.104340562
doc12204,0,0,0,0,0,1,0,0,17,0.104869567
doc7621,0,0.620169558,0,0,0,0,0.379830442,0,4,0.104950803
doc8147,0,1,0,0,0,0,0,0,18,0.104986497
doc2929,0,0,0,0,0,1,0,0,24,0.105123571
doc1604,0,1,0,0,0,0,0,0,19,0.105134631
doc11042,0,1,0,0,0,0,0,0,6,0.10587089
doc9119,0,0,0,0,0.915080926,0,0,0.084919074,3,0.106238419
doc1097,0,0,0,0,0.038647343,0.961352657,0,0,11,0.106806419
