Unnamed: 0,absence of mental illness,absence of physical illness,cognitive health,emotional health,physical activity health,sensory health,sleep health,subclinical health,Years since publication,contribution index
doc10229,0,0,0,0,0.011627906,0,0,0,3,0.078508564
doc12258,0,0,0,0,0,0.006782947,0,0,20,0.078612019
doc1081,0,0,0,0,0,0,0.324572931,0,20,0.078688577
doc9793,0,0.078553615,0,0,0.012919897,0,0,0,21,0.078693298
doc8252,0,0,0.006570304,0,0,0,0,0,13,0.07890004
doc11447,0,0,0,0,0,0,0,0.034165571,2,0.07944413
doc707,0,0,0,0,0,0,0.105124835,0,9,0.079953423
doc11762,0,0.026184538,0,0,0.015503876,0,0,0,12,0.080849113
doc9050,0,0,0,0,0.011627906,0,0,0,20,0.080864926
doc3741,0,0.083541145,0,0,0,0.385658915,0,0,23,0.080901014
doc11152,0,0.021197008,0,0,0,0,0,0,2,0.081236244
doc2642,0,0,0,0,0.321705426,0,0,0,32,0.081415762
doc12649,0,0.021197008,0,0,0,0,0,0,8,0.081447424
doc577,0,0.011221947,0,0,0,0,0,0.078843626,3,0.081656262
doc1454,0,0,0,0.036793693,0,0,0.043363995,0,3,0.082246669
doc130,0,0.083541145,0,0,0,0,0,0,9,0.082676269
doc3217,0,0.078553615,0,0,0,0,0,0,25,0.083253121
doc8636,0,0.612219455,0,0,0,0,0,0,4,0.083764879
doc3196,0,0,0,0,0,0.385658915,0,0,27,0.084075086
doc9192,0,0.11471322,0,0,0,0,0,0,2,0.084100209
doc8465,0,0.031172069,0,0,0,0,0,0,2,0.085301241
doc11535,0,0,0.018396845,0,0.321705426,0,0,0,28,0.085346632
doc4799,0,0,0,0,0.083979328,0,0,0,14,0.08547217
doc9983,0,0.105985035,0,0,0,0,0,0,6,0.085677023
doc1862,0,0.052369077,0,0,0.321705426,0,0,0,13,0.085781313
doc8322,0,0.022443889,0,0,0,0,0,0,7,0.085836489
doc7364,0,0.038653367,0,0,0,0,0,0,13,0.085891879
doc3358,0,0.024937657,0,0,0,0,0,0,11,0.086378454
doc1436,0,0.099750623,0,0,0,0,0,0,25,0.086675963
doc12343,0,0.337905237,0,0,0.321705426,0,0,0,6,0.086851664
doc12084,0,0,0,0,0.018087855,0.424418605,0,0,4,0.086935614
doc7148,0,0.038653367,0,0,0,0,0,0,11,0.087193389
doc7434,0,0.078553615,0,0,0,0,0,0,28,0.087261589
doc5482,0,0,0,0,0,0,0,0.011826544,10,0.087424787
doc49,0,0.01870324,0,0,0,0,0,0,10,0.08916397
doc8857,0,0.056109726,0,0,0,0,0,0,19,0.089900667
doc11087,0,0,0.010512484,0,0,0,0,0,23,0.089924392
doc9161,0,0.074812966,0,0,0,0,0,0,14,0.090099689
doc6129,0,0,0,0,0,0.016472868,0,0,17,0.090278287
doc9642,0,0.089775563,0,0,0,0,0,0.094612352,13,0.090348618
doc722,0,0.01371571,0,0,0,0,0,0,21,0.090393004
doc5156,0,0.022443889,0,0,0,0,0,0,3,0.090616835
doc5612,0,0.238154613,0,0,0,0,0,0,9,0.090695402
doc8016,0,0.026184538,0.015768725,0,0,0,0,0,18,0.091199133
doc1442,0,0.022443889,0,0,0,0,0,0,5,0.091217868
doc9989,0,0.022443889,0,0,0,0,0,0.034165571,25,0.092096551
doc4529,0,0,0,0,0,0,0,0.078843626,9,0.092573504
doc10917,0,0,0,0,0.018087855,0,0,0,25,0.09271789
doc7422,0,0.041147135,0,0,0.00775194,0.385658915,0,0,7,0.093053789
doc6486,0,0,0,0,0,0,0,0.078843626,5,0.093157728
doc269,0,0.238154613,0,0,0,0,0,0,33,0.0931633
doc8693,0,0,0,0,0.014211885,0,0,0,24,0.093368953
doc2057,0,0.009975061,0,0,0,0,0,0,30,0.093712628
doc222,0,0,0.168199736,0,0,0,0,0,4,0.093797302
doc399,0,0,0,0,0.010335918,0,0,0,23,0.093852442
doc8638,0,0,0,0,0.321705426,0,0.010512484,0,18,0.093947186
doc5707,0,0,0,0,0.010335918,0,0,0,29,0.094010726
doc10853,0,0.083541145,0,0,0.014211885,0,0,0,8,0.094017078
doc854,0,0,0,0,0.321705426,0,0,0,20,0.094062111
doc3291,0,0,0,0.072273324,0,0.198643411,0,0,18,0.094205282
doc9731,0,0.148379057,0,0,0.012919897,0,0,0,14,0.094332801
doc6897,0,0,0,0,0.00775194,0,0,0,11,0.094384471
doc4472,0,0,0.015768725,0,0,0,0,0,19,0.094600241
doc11456,0,0,0,0,0.321705426,0,0,0,7,0.095104991
doc2881,0,0.612219455,0,0,0,0,0,0,16,0.095356654
doc13519,0,0.009975061,0,0,0,0,0,0,2,0.095358612
doc9191,0,0.339152118,0,0,0,0.385658915,0,0,2,0.095358612
doc4909,0,0.038653367,0,0,0,0,0,0,28,0.095379543
doc11524,0,0.238154613,0.168199736,0,0,0,0,0,15,0.09571245
doc5559,0,0.009975061,0,0,0,0,0,0,7,0.095898657
doc4798,0,0,0,0,0.083979328,0,0,0,20,0.096133178
doc4160,0,0,0,0,0.321705426,0,0,0,9,0.096230827
doc378,0,0,0,0,0.321705426,0,0,0,25,0.096353956
doc4301,0,0,0.022339028,0,0,0,0,0,7,0.096452609
doc11476,0,0.612219455,0,0,0,0,0,0,30,0.096588653
doc104,0,0.031172069,0,0,0,0,0,0,16,0.096641507
doc4413,0,0.067331668,0,0,0,0,0,0,16,0.097072939
doc11396,0,0.083541145,0,0,0,0,0,0,6,0.097655447
doc11858,0,0.041147135,0,0,0,0.037790698,0,0,10,0.097801315
doc8442,0,0.012468829,0,0,0,0,0,0,29,0.098169393
doc8212,0,0,0.018396845,0,0,0,0,0,11,0.098196651
doc10525,0,0.038653367,0,0,0.083979328,0,0,0,6,0.098330362
doc11494,0,0,0,0,0.321705426,0,0,0,32,0.098353052
doc4138,0,0.031172069,0,0,0,0,0,0,5,0.098386327
doc4509,0,0,0,0,0.011627906,0,0,0,5,0.098913995
doc12652,0,0,0,0,0,0.425387597,0,0,20,0.098989119
doc5940,0,0.019950127,0,0,0,0,0,0,5,0.099367167
doc7534,0,0.083541145,0,0,0,0.385658915,0,0,30,0.099417419
doc3456,0,0.009975061,0,0,0,0,0,0,2,0.099893911
doc5080,0,0.11471322,0,0,0,0.385658915,0,0,16,0.100023799
doc10772,0,0,0,0,0.321705426,0,0,0,10,0.10070611
doc256,0,0.238154613,0,0,0,0.385658915,0,0,2,0.100949506
doc593,0,0.088528676,0,0,0,0,0,0,24,0.100992296
doc993,0,0.65835412,0,0,0,0,0,0,13,0.101055234
doc6944,0,0,0,0,0,0.007751939,0,0,13,0.101173733
doc2705,0,0.274314212,0,0,0.321705426,0,0,0,22,0.101718525
doc3039,0,0,0,0,0.010335918,0,0,0,3,0.101897304
doc4803,0,0,0,0,0,0,0.009198422,0,20,0.102012632
doc394,0,0.056109726,0,0,0,0,0,0,2,0.102131672
doc182,0,0.011221947,0,0,0,0,0,0,8,0.102232707
doc9534,0,0,0,0,0,0.385658915,0,0,21,0.102587994
doc11559,0,0,0,0,0,0.385658915,0,0,28,0.103075705
doc2267,0,0,0,0,0,0.03391473,0,0.034165571,32,0.103193095
doc3073,0,0.69077307,0,0,0,0,0,0,17,0.10330181
doc8123,0,0.238154613,0,0,0,0,0,0,23,0.103349797
doc12868,0,0,0,0,0,0,0,0.011826544,13,0.103472534
doc6863,0,0,0,0,0,0,0,0.034165571,12,0.103677693
doc4442,0,0.026184538,0,0,0,0,0,0,12,0.10372165
doc7729,0,0.238154613,0,0,0,0.385658915,0,0,10,0.104290339
doc4842,0,0,0.128777923,0,0.126614989,0,0,0,15,0.104340562
doc12204,0,0,0,0,0,0.385658915,0,0,17,0.104869567
doc7621,0,0.238154613,0,0,0,0,0.14586071,0,4,0.104950803
doc8147,0,0.612219455,0,0,0,0,0,0,18,0.104986497
doc2929,0,0,0,0,0,0.055232558,0,0,24,0.105123571
doc1604,0,0.612219455,0,0,0,0,0,0,19,0.105134631
doc11042,0,0.736907729,0,0,0,0,0,0,6,0.10587089
doc9119,0,0,0,0,0.354005169,0,0,0.032851511,3,0.106238419
doc1097,0,0,0,0,0.015503876,0.385658915,0,0,11,0.106806419
doc10213,0,0,0,0,0.025839794,0,0,0,7,0.106838004
doc1346,0,0,0,0,0,0.385658915,0.03022339,0,20,0.106902819
doc7432,0,0,0,0,0.321705426,0.437984497,0,0,4,0.10706237
doc7053,0,0,0.168199736,0,0.015503876,0,0,0,2,0.107575028
doc6101,0,0.083541145,0,0,0,0,0,0,11,0.107707146
doc2240,0,0.026184538,0,0,0,0,0,0,6,0.108200644
doc1926,0,0.011221947,0.168199736,0,0,0.052325582,0,0,5,0.10832774
doc10015,0,0.083541145,0,0,0,0,0,0,21,0.10900932
doc7554,0,0,0,0,0,0,0.178712221,0,26,0.109118924
doc2455,0,0.041147135,0,0,0,0.385658915,0,0,7,0.109159764
doc12303,0,0.238154613,0,0,0,0.018410852,0,0,2,0.109189815
doc6936,0,0,0,0,0.083979328,0,0,0,2,0.109189815
doc5887,0,0.021197008,0,0,0,0,0,0,34,0.109306735
doc6128,0,0.021197008,0,0,0.011627906,0,0.178712221,0,9,0.109673858
doc4278,0,0,0,0,0.321705426,0,0,0,4,0.109814488
doc10104,0,0.612219455,0,0,0,0,0,0,12,0.109862548
doc3787,0,0,0,0,0,0.198643411,0,0,28,0.110502548
doc5165,0,0,0,0,0.019379846,0.385658915,0,0,20,0.110545674
doc5949,0,0.11471322,0,0,0,0,0,0,7,0.110961442
doc3122,0,0.238154613,0,0,0,0,0,0,3,0.111457001
doc1008,0,0.11471322,0,0,0,0,0,0,25,0.111509021
doc10317,0,0.024937657,0,0,0,0,0,0,2,0.111829002
doc2808,0,0.088528676,0,0,0,0,0,0,2,0.111829002
doc10497,0,0.033665837,0,0,0,0,0,0,30,0.111976594
doc2050,0,0.012468829,0,0,0,0,0,0,17,0.11202631
doc4629,0,0,0,0,0,0.052325582,0,0,19,0.112331832
doc6077,0,0.708229429,0,0,0,0,0,0,14,0.112332771
doc339,0,0,0,0,0.321705426,0.385658915,0,0,19,0.112455989
doc8842,0,0.056109726,0,0,0,0,0,0,7,0.1126081
doc3803,0,0.625935164,0,0,0,0,0,0,13,0.112666885
doc10874,0,0,0.168199736,0,0,0,0.178712221,0,27,0.112667423
doc8330,0,0.038653367,0,0,0,0,0,0,5,0.112792527
doc3168,0,0.017456359,0,0,0,0,0,0,10,0.112872587
doc5825,0,0,0,0,0,0.385658915,0,0,29,0.112951297
doc10259,0,0.137157103,0,0,0,0,0,0,24,0.113329839
doc1092,0,0.11471322,0,0,0,0,0,0,4,0.113479462
doc2911,0,0,0,0,0.009043927,0,0,0,5,0.113549945
doc5548,0,0,0,0,0,0,0.043363995,0,8,0.113552484
doc338,0,0.036159599,0,0,0,0,0,0,13,0.113617663
doc7415,0,0.026184538,0,0,0,0,0,0,15,0.11383756
doc4874,0,0.083541145,0,0,0,0.385658915,0,0,25,0.114293165
doc11811,0,0.11471322,0,0,0,0,0,0,22,0.114713231
doc2518,0,0,0,0.026281209,0,0,0,0,22,0.11489761
doc5688,0,0,0,0,0,0.437984497,0,0,31,0.115287528
doc5826,0,0,0,0,0,0,0,0.028909331,26,0.116142434
doc8092,0,0.238154613,0,0,0,0.03391473,0,0,6,0.116268729
doc10588,0,0,0,0,0.321705426,0,0,0,7,0.117003773
doc11457,0,0,0,0,0.321705426,0,0,0,4,0.117491612
doc11724,0,0.274314212,0,0,0,0.385658915,0,0,8,0.11800369
doc9688,0,0.6957606,0,0,0,0,0,0,12,0.118039628
doc7423,0,0,0,0,0.031007752,0,0,0.017082787,19,0.11820204
doc4338,0,0,0,0,0.083979328,0,0,0,3,0.118415693
doc5335,0,0.036159599,0,0,0,0,0,0,18,0.118432165
doc4850,0,0,0,0.072273324,0,0,0,0,21,0.118560015
doc1544,0,0,0,0,0,0,0,0.078843626,6,0.119016795
doc11302,0,0.021197008,0,0,0,0,0,0,29,0.119314754
doc2700,0,0.014962591,0,0,0,0,0,0,6,0.119562463
doc9754,0,0.033665837,0,0,0.00775194,0.385658915,0,0,18,0.119897978
doc5108,0,0,0,0,0.321705426,0,0,0,21,0.120103328
doc11305,0,0.068578555,0,0,0,0,0,0,2,0.120119831
doc5394,0,0,0,0,0.032299743,0,0,0.032851511,19,0.120240816
doc7793,0,0,0.168199736,0,0,0,0.178712221,0,27,0.120443683
doc5130,0,0.033665837,0,0,0,0,0,0,18,0.120647612
doc8378,0,0.026184538,0,0,0,0,0,0,15,0.12081531
doc10092,0,0.026184538,0,0,0,0,0,0,5,0.120862714
doc6818,0,0.11471322,0,0,0,0,0,0,5,0.121018373
doc493,0,0.012468829,0,0,0,0,0,0.034165571,9,0.121070764
doc7786,0,0,0,0,0.321705426,0,0,0,6,0.121123119
doc4432,0,0,0.08541393,0,0,0,0,0,15,0.121380659
doc8784,0,0.132169573,0,0,0,0,0,0,5,0.121480427
doc7142,0,0.038653367,0,0,0,0,0,0,23,0.12190934
doc10855,0,0.088528676,0,0,0,0,0,0,3,0.121999922
doc10530,0,0,0.009198424,0,0,0,0,0,15,0.122056956
doc8789,0,0,0,0.072273324,0,0,0,0,17,0.122266248
doc5590,0,0,0,0,0.321705426,0.039728682,0,0,3,0.122367451
